,Tx,Tx_err,rad,rad_width
0,4.107,0.116,34.765,34.765
1,4.133,0.127,86.912,17.382
2,4.313,0.143,121.677,17.382
3,4.01,0.126,156.441,17.382
4,4.412,0.149,191.206,17.382
5,3.909,0.157,225.971,17.382
6,4.123,0.186,260.736,17.382
7,3.914,0.13,316.359,38.241
8,4.084,0.196,389.365,34.765
9,4.378,0.25,458.895,34.765
10,4.494,0.361,528.424,34.765
11,3.646,0.289,601.43,38.241
12,4.583,0.538,709.201,69.53
13,5.964,2.856,869.119,90.388
