,Tx,Tx_err,rad,rad_width
0,3.319,0.168,13.074,13.074
1,3.084,0.109,39.222,13.074
2,3.228,0.106,65.369,13.074
3,3.289,0.107,91.517,13.074
4,3.16,0.107,117.665,13.074
5,3.069,0.108,143.813,13.074
6,3.167,0.13,169.961,13.074
7,3.141,0.124,198.723,15.689
8,3.471,0.157,227.486,13.074
9,3.484,0.154,253.634,13.074
10,3.025,0.144,279.781,13.074
11,2.921,0.162,305.929,13.074
12,2.918,0.176,332.077,13.074
13,3.126,0.209,358.225,13.074
14,2.989,0.187,386.987,15.689
15,2.76,0.211,415.75,13.074
16,2.985,0.224,441.898,13.074
17,2.401,0.166,468.045,13.074
18,2.866,0.246,494.193,13.074
19,2.458,0.191,520.341,13.074
20,2.736,0.225,546.489,13.074
21,2.699,0.209,575.251,15.689
22,2.887,0.256,604.014,13.074
23,3.091,0.371,630.162,13.074
24,2.706,0.295,656.31,13.074
25,2.991,0.355,682.457,13.074
26,2.431,0.222,708.605,13.074
27,2.215,0.266,734.753,13.074
28,2.156,0.247,763.515,15.689
