,Tx,Tx_err,rad,rad_width
0,6.074,0.324,17.254,17.254
1,5.658,0.178,51.761,17.254
2,5.752,0.167,86.268,17.254
3,5.737,0.18,120.775,17.254
4,5.835,0.191,155.282,17.254
5,6.049,0.221,189.789,17.254
6,6.008,0.239,224.296,17.254
7,5.712,0.23,262.254,20.704
8,5.988,0.308,300.212,17.254
9,5.362,0.273,334.719,17.254
10,5.016,0.273,369.226,17.254
11,5.304,0.356,403.733,17.254
12,5.128,0.35,438.24,17.254
13,5.466,0.432,472.747,17.254
14,5.494,0.471,507.254,17.254
15,5.156,0.465,545.212,20.704
16,4.905,0.44,600.423,34.507
17,4.318,0.445,669.438,34.507
18,4.276,0.568,738.452,34.507
19,3.329,0.476,810.917,37.958
20,2.39,0.372,883.382,34.507
21,1.676,0.319,969.649,51.761
22,2.223,1.951,1076.621,55.211
