,Tx,Tx_err,rad,rad_width
0,7.006,0.544,22.981,22.981
1,6.137,0.249,68.944,22.981
2,6.182,0.227,114.906,22.981
3,6.817,0.239,160.868,22.981
4,5.708,0.192,206.831,22.981
5,5.49,0.188,252.793,22.981
6,5.661,0.213,298.755,22.981
7,5.581,0.234,344.718,22.981
8,5.622,0.241,395.276,27.577
9,5.506,0.263,445.835,22.981
10,6.828,0.43,491.797,22.981
11,5.902,0.405,537.759,22.981
12,5.86,0.478,583.722,22.981
13,5.931,0.493,629.684,22.981
14,6.985,0.644,675.646,22.981
15,6.851,0.858,721.609,22.981
16,6.351,1.001,772.167,27.577
17,4.904,0.777,822.726,22.981
18,4.712,0.924,868.688,22.981
19,5.199,0.76,914.651,22.981
20,5.981,1.716,960.613,22.981
21,4.769,1.668,1006.575,22.981
22,3.595,0.993,1052.538,22.981
23,4.669,1.901,1098.5,22.981
24,5.466,2.955,1149.059,27.577
