,Tx,Tx_err,rad,rad_width
0,6.321,0.223,45.962,45.962
1,6.182,0.227,114.906,22.981
2,6.816,0.239,160.868,22.981
3,5.709,0.192,206.831,22.981
4,5.49,0.188,252.793,22.981
5,5.661,0.213,298.755,22.981
6,5.581,0.234,344.718,22.981
7,5.622,0.241,395.276,27.577
8,5.506,0.263,445.835,22.981
9,6.826,0.43,491.797,22.981
10,5.902,0.405,537.759,22.981
11,5.86,0.478,583.722,22.981
12,5.932,0.493,629.684,22.981
13,6.985,0.644,675.646,22.981
14,7.156,0.848,721.609,22.981
15,6.351,1.001,772.167,27.577
16,4.905,0.777,822.726,22.981
17,6.2,0.699,891.67,45.962
18,5.981,1.716,960.613,22.981
19,4.775,1.667,1006.575,22.981
20,3.595,0.993,1052.538,22.981
21,4.664,1.903,1098.5,22.981
22,5.469,2.955,1149.059,27.577
