,Tx,Tx_err,rad,rad_width
0,3.169,0.09,26.148,26.148
1,3.228,0.106,65.369,13.074
2,3.289,0.107,91.517,13.074
3,3.16,0.107,117.665,13.074
4,3.069,0.108,143.813,13.074
5,3.167,0.13,169.961,13.074
6,3.141,0.124,198.723,15.689
7,3.471,0.157,227.486,13.074
8,3.301,0.109,266.707,26.148
9,2.92,0.119,319.003,26.148
10,3.059,0.146,373.913,28.763
11,2.872,0.159,428.824,26.148
12,2.606,0.144,481.119,26.148
13,2.598,0.152,533.415,26.148
14,2.784,0.171,588.325,28.763
15,2.944,0.209,656.31,39.222
16,2.312,0.16,737.368,41.836
