,Tx,Tx_err,rad,rad_width
0,4.785,0.184,21.499,21.499
1,4.912,0.128,64.496,21.499
2,4.803,0.11,107.493,21.499
3,4.734,0.105,150.49,21.499
4,4.632,0.11,193.487,21.499
5,4.757,0.13,236.485,21.499
6,5.014,0.152,279.482,21.499
7,4.788,0.177,322.479,21.499
8,4.842,0.2,365.476,21.499
9,4.796,0.232,408.473,21.499
10,4.729,0.258,451.471,21.499
11,4.282,0.261,494.468,21.499
12,5.282,0.485,537.465,21.499
13,5.359,0.484,580.462,21.499
14,5.12,0.434,644.958,42.997
15,7.523,1.108,730.953,42.997
16,4.716,0.946,816.947,42.997
17,4.94,1.358,945.939,85.994
