,Tx,Tx_err,rad,rad_width
0,3.058,0.017,17.382,17.382
1,3.138,0.009,52.147,17.382
2,3.541,0.014,86.912,17.382
3,3.793,0.02,121.677,17.382
4,4.0,0.028,156.441,17.382
5,4.043,0.035,191.206,17.382
6,4.372,0.046,229.447,20.859
7,4.453,0.062,267.689,17.382
8,3.502,0.056,302.453,17.382
9,3.543,0.065,337.218,17.382
10,3.508,0.075,371.983,17.382
11,3.538,0.088,406.748,17.382
12,3.633,0.106,444.989,20.859
13,3.472,0.126,483.23,17.382
14,3.589,0.155,517.995,17.382
15,3.102,0.152,552.76,17.382
16,3.161,0.18,587.525,17.382
17,3.312,0.211,622.289,17.382
18,3.112,0.217,660.531,20.859
19,2.939,0.238,698.772,17.382
20,3.355,0.318,733.537,17.382
21,2.29,0.222,768.301,17.382
22,2.295,0.256,803.066,17.382
23,2.48,0.323,837.831,17.382
24,2.768,0.291,876.072,20.859
