,Tx,Tx_err,rad,rad_width
0,6.485,0.257,38.865,38.865
1,5.951,0.217,97.164,19.433
2,5.71,0.193,136.029,19.433
3,5.873,0.192,174.894,19.433
4,5.567,0.173,213.76,19.433
5,5.352,0.165,252.625,19.433
6,5.338,0.172,291.491,19.433
7,4.799,0.154,334.242,23.319
8,4.852,0.183,376.994,19.433
9,4.668,0.184,415.86,19.433
10,4.514,0.206,454.725,19.433
11,4.443,0.206,493.591,19.433
12,4.641,0.272,532.456,19.433
13,4.377,0.208,590.754,38.865
14,3.811,0.218,672.371,42.752
15,3.749,0.215,753.989,38.865
16,2.28,0.134,851.152,58.298
17,2.221,0.263,971.635,62.185
