,Tx,Tx_err,rad,rad_width
0,7.204,0.245,21.324,21.324
1,6.922,0.143,63.973,21.324
2,6.53,0.115,106.621,21.324
3,6.528,0.125,149.27,21.324
4,6.268,0.131,191.918,21.324
5,6.333,0.148,234.567,21.324
6,5.467,0.139,281.48,25.589
7,5.057,0.14,328.394,21.324
8,5.212,0.163,371.042,21.324
9,4.715,0.17,413.691,21.324
10,4.99,0.228,456.339,21.324
11,4.184,0.22,498.988,21.324
12,5.257,0.314,545.901,25.589
13,5.09,0.389,592.814,21.324
14,5.304,0.403,656.787,42.649
15,3.558,0.458,742.084,42.649
16,1.723,0.153,831.646,46.913
17,2.237,0.358,942.532,63.973
18,9.272,5.318,1074.742,68.238
