,Tx,Tx_err,rad,rad_width
0,5.406,0.315,43.001,43.001
1,5.031,0.365,107.501,21.5
2,5.02,0.412,150.502,21.5
3,4.926,0.454,193.503,21.5
4,4.446,0.38,249.403,34.4
5,4.258,0.464,305.304,21.5
6,3.651,0.34,348.305,21.5
7,3.616,0.404,391.305,21.5
8,5.175,0.59,434.306,21.5
9,4.608,0.432,479.457,23.65
10,4.141,0.304,535.357,32.25
11,4.628,0.624,599.858,32.25
12,3.596,0.324,653.609,21.5
13,3.809,0.46,709.51,34.4
14,3.862,0.585,786.911,43.001
15,3.46,0.719,896.562,66.651
