name,xmm_pointed_MCXC_R500,xmm_pointed_0.3Mpc,xmm_pointed_0.5Mpc,xmm_pointed_1.0Mpc,xmm_pointed_2.0Mpc,chandra_MCXC_R500,chandra_0.3Mpc,chandra_0.5Mpc,chandra_1.0Mpc,chandra_2.0Mpc,rosat_pointed_pspc_MCXC_R500,rosat_pointed_pspc_0.3Mpc,rosat_pointed_pspc_0.5Mpc,rosat_pointed_pspc_1.0Mpc,rosat_pointed_pspc_2.0Mpc,rosat_pointed_hri_MCXC_R500,rosat_pointed_hri_0.3Mpc,rosat_pointed_hri_0.5Mpc,rosat_pointed_hri_1.0Mpc,rosat_pointed_hri_2.0Mpc,nustar_pointed_MCXC_R500,nustar_pointed_0.3Mpc,nustar_pointed_0.5Mpc,nustar_pointed_1.0Mpc,nustar_pointed_2.0Mpc,swift_xrt_MCXC_R500,swift_xrt_0.3Mpc,swift_xrt_0.5Mpc,swift_xrt_1.0Mpc,swift_xrt_2.0Mpc,asca_MCXC_R500,asca_0.3Mpc,asca_0.5Mpc,asca_1.0Mpc,asca_2.0Mpc,suzaku_MCXC_R500,suzaku_0.3Mpc,suzaku_0.5Mpc,suzaku_1.0Mpc,suzaku_2.0Mpc,erosita_all_sky_de_dr1_MCXC_R500,erosita_all_sky_de_dr1_0.3Mpc,erosita_all_sky_de_dr1_0.5Mpc,erosita_all_sky_de_dr1_1.0Mpc,erosita_all_sky_de_dr1_2.0Mpc
LoVoCCS-18,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.97,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.98,0.87,1.0,1.0,0.93,0.33,1.0,1.0,1.0,1.0,0.85,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-21,0.85,1.0,1.0,0.9,0.54,0.82,1.0,0.87,0.84,0.68,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.88,1.0,1.0,0.99,1.0,0.41,0.67,1.0,1.0,0.75,0.4,1.0,1.0,1.0,1.0,0.61,0.22,0.0,0.0,0.16,0.37,1.0,1.0,1.0,1.0,1.0
LoVoCCS-22,1.0,1.0,1.0,1.0,0.55,1.0,1.0,1.0,1.0,0.61,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,0.99,0.91,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-24,1.0,1.0,1.0,1.0,0.61,0.89,1.0,1.0,0.92,0.45,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.54,1.0,1.0,1.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-26,1.0,1.0,1.0,1.0,0.65,1.0,1.0,1.0,1.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-27,1.0,1.0,1.0,1.0,0.86,0.93,1.0,1.0,0.98,0.32,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.61,0.6,0.98,0.98,0.68,0.17,1.0,1.0,1.0,1.0,0.56,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-28,1.0,1.0,1.0,1.0,0.97,0.95,1.0,1.0,0.97,0.46,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-29,1.0,1.0,1.0,1.0,0.78,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.85,1.0,1.0,0.86,0.69
LoVoCCS-30,1.0,1.0,1.0,1.0,0.86,0.97,1.0,1.0,0.98,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.64,1.0,1.0,0.73,0.18,0.95,1.0,1.0,0.98,0.4,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
LoVoCCS-31,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-33,0.35,0.16,0.29,0.35,0.35,1.0,1.0,1.0,1.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.97,0.98,0.87,0.7,0.49,0.49,0.47,0.49,0.52,0.0,0.0,0.0,0.0,0.0,0.37,0.08,0.23,0.36,0.36,1.0,1.0,1.0,1.0,1.0
LoVoCCS-35,1.0,1.0,1.0,1.0,0.63,0.99,1.0,1.0,0.99,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-39,1.0,1.0,1.0,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.92,1.0,1.0,0.92,0.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LoVoCCS-41A,1.0,1.0,1.0,1.0,0.51,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,0.81,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
LoVoCCS-41B,0.84,1.0,1.0,0.84,0.49,1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.89,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0
LoVoCCS-41C,0.21,0.0,0.06,0.21,0.26,0.93,1.0,1.0,0.92,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0,0.0,0.0,0.0,0.0,0.53,0.86,0.7,0.52,0.43,0.39,0.33,0.36,0.39,0.37,1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,1.0
LoVoCCS-42,1.0,1.0,1.0,1.0,0.42,0.98,1.0,1.0,0.98,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.73,1.0,1.0,1.0,1.0,0.83,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-45,1.0,1.0,1.0,1.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
LoVoCCS-46A,1.0,1.0,1.0,1.0,0.57,0.92,1.0,1.0,0.91,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
