name,0,1,2,3,4,5,6,7,8,9,10,converged
LoVoCCS-1,500.0,1263.1065489803075,,,,,,,,,,False
LoVoCCS-2,500.0,1336.3425703071007,,,,,,,,,,False
LoVoCCS-4A,500.0,1088.0687824662261,,,,,,,,,,False
LoVoCCS-4B,500.0,1067.3269227156973,1214.0016422061242,,,,,,,,,False
LoVoCCS-5,500.0,1129.7046989316063,1147.210943428619,,,,,,,,,False
LoVoCCS-7,500.0,1210.2040076390413,1139.1840424607892,1161.091677410013,1151.145562216013,1151.145562216013,1151.145562216013,1151.145562216013,1151.145562216013,1151.145562216013,1151.145562216013,True
LoVoCCS-9,500.0,1393.316929770713,978.9700127361322,1339.6184441643052,1146.3004083061642,1367.8467800494245,1088.300102733585,1357.0399498531674,1124.5489640999772,1361.092009071655,1109.1334287393445,False
LoVoCCS-10,500.0,1163.3040869733522,1114.3435289597774,220.75429076328456,1181.3455224696604,1103.1287404080465,1103.1287404080465,1103.1287404080465,1103.1287404080465,1103.1287404080465,1103.1287404080465,True
LoVoCCS-11,500.0,1408.782742323201,,,,,,,,,,False
LoVoCCS-12,500.0,1222.6101946528574,,,,,,,,,,False
LoVoCCS-13,500.0,968.5237032861723,933.4646604853979,941.7088461607804,939.9167569281508,939.9167569281508,939.9167569281508,939.9167569281508,939.9167569281508,939.9167569281508,939.9167569281508,True
LoVoCCS-14,500.0,1237.2384399802659,,,,,,,,,,False
LoVoCCS-15,500.0,848.6312963228655,889.5985755451336,891.6963798021136,891.7072031680012,891.7072031680012,891.7072031680012,891.7072031680012,891.7072031680012,891.7072031680012,891.7072031680012,True
LoVoCCS-18,500.0,1089.230377131598,1036.3854599759459,1054.6325168629598,1049.1027173535954,1049.1027173535954,1049.1027173535954,1049.1027173535954,1049.1027173535954,1049.1027173535954,1049.1027173535954,True
LoVoCCS-21,500.0,1090.3573621321746,,,,,,,,,,False
LoVoCCS-22,500.0,1077.255815071715,1023.9796361540828,1021.9228307437594,1022.2684896978637,1022.2684896978637,1022.2684896978637,1022.2684896978637,1022.2684896978637,1022.2684896978637,1022.2684896978637,True
LoVoCCS-24,500.0,1083.2750163311168,1040.966618919358,1044.6983124917933,1044.1139073307288,1044.1139073307288,1044.1139073307288,1044.1139073307288,1044.1139073307288,1044.1139073307288,1044.1139073307288,True
LoVoCCS-26,500.0,1028.7855226880913,1026.8242426395493,1026.3831028462878,1025.9853539005192,1025.9853539005192,1025.9853539005192,1025.9853539005192,1025.9853539005192,1025.9853539005192,1025.9853539005192,True
LoVoCCS-27,500.0,1062.4941583652167,,,,,,,,,,False
LoVoCCS-28,500.0,1198.2847941093562,914.5450346719589,1153.9293760056796,937.2773859232784,1147.048559580354,954.5726924561317,1142.4464121588799,973.6886795477266,1134.389778817927,995.5445206437336,False
LoVoCCS-29,500.0,1019.3977212880292,1027.4253479618171,1025.4355160000255,1026.047945500737,1026.047945500737,1026.047945500737,1026.047945500737,1026.047945500737,1026.047945500737,1026.047945500737,True
LoVoCCS-30,500.0,854.9923562534615,753.5457969148603,822.6903830450188,784.0553816192322,784.0553816192324,784.0553816192325,784.0553816192325,784.0553816192325,784.0553816192325,784.0553816192325,True
LoVoCCS-31,500.0,1222.5506765116086,1031.440769307552,1121.3196501118573,1097.789505219449,1097.789505219449,1097.789505219449,1097.789505219449,1097.789505219449,1097.789505219449,1097.789505219449,True
LoVoCCS-35,500.0,1119.4513072686775,1028.6758935302744,1048.8833724690967,1043.4190634484592,1043.4190634484592,1043.4190634484592,1043.4190634484592,1043.4190634484592,1043.4190634484592,1043.4190634484592,True
LoVoCCS-39,500.0,766.2221324000838,768.1148612684565,768.7771337734208,768.849773271394,768.849773271394,768.849773271394,768.849773271394,768.849773271394,768.849773271394,768.849773271394,True
LoVoCCS-41A,500.0,948.1463026470569,962.6089348668883,967.681364901943,967.330108700912,967.330108700912,967.330108700912,967.330108700912,967.330108700912,967.330108700912,967.330108700912,True
LoVoCCS-41B,500.0,789.9080944869617,776.8934932027652,776.6314367301859,777.8567910449119,777.8567910449119,777.8567910449119,777.8567910449119,777.8567910449119,777.8567910449119,777.8567910449119,True
LoVoCCS-42,500.0,1047.1329418208743,998.7002420684856,1023.0064545079906,1006.1027120738244,1006.1027120738244,1006.1027120738244,1006.1027120738244,1006.1027120738244,1006.1027120738244,1006.1027120738244,True
LoVoCCS-45,500.0,1141.9817183136727,1178.6559205812482,1179.2073884539188,1180.2144582110188,1180.2144582110188,1180.2144582110188,1180.2144582110188,1180.2144582110188,1180.2144582110188,1180.2144582110188,True
LoVoCCS-46A,500.0,951.7623311984722,988.4229455469639,988.6208689244229,988.7459825861799,988.7459825861799,988.7459825861799,988.7459825861799,988.7459825861799,988.7459825861799,988.7459825861799,True
LoVoCCS-46B,500.0,830.7805863914394,,,,,,,,,,False
LoVoCCS-46C,500.0,970.1468995814201,948.3737905519453,952.2782661013745,951.7240867477213,951.7240867477213,951.7240867477213,951.7240867477213,951.7240867477213,951.7240867477213,951.7240867477213,True
LoVoCCS-48A,500.0,991.1953325689094,922.8209068674573,942.0447784407038,943.6964331744634,943.6964331744636,943.6964331744636,943.6964331744636,943.6964331744636,943.6964331744636,943.6964331744636,True
LoVoCCS-48B,500.0,449.5505148432753,437.79954322308413,450.88519717446167,437.2403982131244,437.2403982131244,437.2403982131244,437.2403982131244,437.2403982131244,437.2403982131244,437.2403982131244,True
LoVoCCS-49,500.0,854.1192641425268,846.4259161226845,846.2956453100851,846.0448628973147,846.0448628973147,846.0448628973147,846.0448628973147,846.0448628973147,846.0448628973147,846.0448628973147,True
LoVoCCS-51,500.0,960.4785482931005,957.3144767902927,957.5360153804343,957.752583991409,957.7525839914091,957.7525839914092,957.7525839914092,957.7525839914092,957.7525839914092,957.7525839914092,True
LoVoCCS-58,500.0,731.0729330906283,723.2651460460589,723.1950117725311,723.0569866636278,723.0569866636278,723.0569866636278,723.0569866636278,723.0569866636278,723.0569866636278,723.0569866636278,True
LoVoCCS-60A,500.0,1194.027854964253,1067.2919245220264,1088.0466503138923,1079.0713990617135,1079.0713990617135,1079.0713990617135,1079.0713990617135,1079.0713990617135,1079.0713990617135,1079.0713990617135,True
LoVoCCS-60B,500.0,1139.671911606892,1085.1381984656346,1146.9214502810066,1080.5426285676876,1080.5426285676876,1080.5426285676876,1080.5426285676876,1080.5426285676876,1080.5426285676876,1080.5426285676876,True
LoVoCCS-61,500.0,1178.195527214087,1141.5656070383238,1144.952874905264,1144.548071341584,1144.548071341584,1144.548071341584,1144.548071341584,1144.548071341584,1144.548071341584,1144.548071341584,True
LoVoCCS-63,500.0,1061.3571082575575,1005.9350994800484,1011.3864456434583,1011.0426981258223,1011.0426981258223,1011.0426981258223,1011.0426981258223,1011.0426981258223,1011.0426981258223,1011.0426981258223,True
LoVoCCS-65,500.0,887.5081379452678,,,,,,,,,,False
LoVoCCS-66A,500.0,954.8579796306012,905.7006345967444,934.9034586640239,914.0027377897231,914.0027377897231,914.0027377897231,914.0027377897231,914.0027377897231,914.0027377897231,914.0027377897231,True
LoVoCCS-66B,500.0,888.256991900947,983.1734894188538,986.0713917613854,991.3206855207292,991.3206855207292,991.3206855207292,991.3206855207292,991.3206855207292,991.3206855207292,991.3206855207292,True
LoVoCCS-67,500.0,912.3203942463654,,,,,,,,,,False
LoVoCCS-74,500.0,974.8327097430264,959.6571732897187,960.1548436091497,960.8388689517074,960.8388689517074,960.8388689517074,960.8388689517074,960.8388689517074,960.8388689517074,960.8388689517074,True
LoVoCCS-75,500.0,834.4154328023593,807.4926145472427,801.4130013424434,802.6930120637195,802.6930120637195,802.6930120637195,802.6930120637195,802.6930120637195,802.6930120637195,802.6930120637195,True
LoVoCCS-76,500.0,821.189119129078,820.5115270725088,820.4483655984343,820.3852633176043,820.3852633176043,820.3852633176043,820.3852633176043,820.3852633176043,820.3852633176043,820.3852633176043,True
LoVoCCS-80,500.0,1062.5087756577043,1060.4182870064292,1063.4029127514325,1060.2200036103254,1060.2200036103254,1060.2200036103254,1060.2200036103254,1060.2200036103254,1060.2200036103254,1060.2200036103254,True
LoVoCCS-85,500.0,856.0087654261283,907.2900645119645,913.4993915300735,912.8920932443034,912.8920932443034,912.8920932443034,912.8920932443034,912.8920932443034,912.8920932443034,912.8920932443034,True
LoVoCCS-89,500.0,1046.2605431930183,1009.7972839565983,1003.9492986845569,1012.235393123651,1012.235393123651,1012.235393123651,1012.235393123651,1012.235393123651,1012.235393123651,1012.235393123651,True
LoVoCCS-90,500.0,881.8391993103892,886.646127825517,887.8269028555748,891.6358868305648,891.6358868305648,891.6358868305648,891.6358868305648,891.6358868305648,891.6358868305648,891.6358868305648,True
LoVoCCS-93A,500.0,1047.4447891484076,,,,,,,,,,False
LoVoCCS-93B,500.0,1132.8634605023474,,,,,,,,,,False
LoVoCCS-94,500.0,938.147789844566,948.09277897342,941.8639449443676,945.6240718646037,945.6240718646037,945.6240718646037,945.6240718646037,945.6240718646037,945.6240718646037,945.6240718646037,True
LoVoCCS-98,500.0,919.043464220619,900.6897616130163,905.865752280809,905.4339149819021,905.4339149819021,905.4339149819021,905.4339149819021,905.4339149819021,905.4339149819021,905.4339149819021,True
LoVoCCS-99,500.0,1048.4417745853152,,,,,,,,,,False
LoVoCCS-119,500.0,707.3673937198954,742.6391786596182,746.8447175935686,746.5654505046938,746.5654505046938,746.5654505046938,746.5654505046938,746.5654505046938,746.5654505046938,746.5654505046938,True
LoVoCCS-121,500.0,843.3655404286615,770.4542301654159,807.5465445088403,792.9725695668543,792.9725695668543,792.9725695668543,792.9725695668543,792.9725695668543,792.9725695668543,792.9725695668543,True
LoVoCCS-123,500.0,959.0558197167986,955.7993443950679,962.1260051069855,953.9855248839117,953.9855248839117,953.9855248839117,953.9855248839117,953.9855248839117,953.9855248839117,953.9855248839117,True
LoVoCCS-131,500.0,958.3128251168176,999.1770161005264,999.6991160804297,999.7964163450562,999.7964163450562,999.7964163450562,999.7964163450562,999.7964163450562,999.7964163450562,999.7964163450562,True
LoVoCCS-134,500.0,976.3187677462637,838.8902356344706,900.550960094407,875.9529205814617,875.9529205814617,875.9529205814617,875.9529205814617,875.9529205814617,875.9529205814617,875.9529205814617,True
