,Tx,Tx_err,rad,rad_width
0,3.982,0.209,61.935,61.935
1,4.046,0.358,139.354,15.484
2,4.178,0.317,170.322,15.484
3,4.073,0.311,201.29,15.484
4,4.522,0.348,232.257,15.484
5,3.656,0.27,263.225,15.484
6,3.568,0.282,294.192,15.484
7,3.619,0.286,325.16,15.484
8,3.467,0.291,356.128,15.484
9,4.413,0.397,387.095,15.484
10,3.526,0.351,418.063,15.484
11,3.863,0.427,449.03,15.484
12,3.548,0.319,495.482,30.968
13,3.443,0.363,557.417,30.968
14,2.323,0.252,619.352,30.968
15,2.578,0.299,696.771,46.451
16,1.61,0.238,792.771,49.548
