,Tx,Tx_err,rad,rad_width
0,4.671,0.179,31.344,31.344
1,4.582,0.163,78.36,15.672
2,5.204,0.21,109.704,15.672
3,4.688,0.18,141.048,15.672
4,4.449,0.169,172.392,15.672
5,4.346,0.159,203.736,15.672
6,4.903,0.23,235.08,15.672
7,4.18,0.191,266.424,15.672
8,4.719,0.243,297.768,15.672
9,4.428,0.172,344.784,31.344
10,4.59,0.2,407.472,31.344
11,4.549,0.235,470.16,31.344
12,4.449,0.296,532.848,31.344
13,3.712,0.276,611.208,47.016
14,4.186,0.485,705.239,47.016
15,2.784,0.424,814.943,62.688
16,1.786,0.397,940.319,62.688
