,Tx,Tx_err,rad,rad_width
0,3.286,0.011,15.521,15.521
1,4.076,0.019,46.564,15.521
2,4.479,0.02,77.607,15.521
3,4.866,0.027,108.65,15.521
4,4.662,0.029,139.693,15.521
5,4.62,0.033,170.736,15.521
6,4.696,0.039,201.779,15.521
7,4.512,0.041,232.822,15.521
8,4.517,0.047,263.865,15.521
9,4.536,0.051,298.012,18.626
10,4.463,0.061,332.16,15.521
11,4.548,0.07,363.203,15.521
12,4.423,0.077,394.246,15.521
13,4.635,0.093,425.289,15.521
14,4.528,0.101,456.332,15.521
15,4.37,0.114,487.375,15.521
16,4.253,0.117,518.417,15.521
17,3.559,0.102,549.46,15.521
18,3.476,0.13,580.503,15.521
19,3.696,0.136,614.651,18.626
20,2.85,0.067,648.798,15.521
21,3.179,0.162,679.841,15.521
22,2.502,0.134,710.884,15.521
23,2.398,0.131,741.927,15.521
24,1.958,0.101,772.97,15.521
25,2.081,0.14,804.013,15.521
26,1.693,0.118,835.056,15.521
27,1.553,0.163,866.099,15.521
28,2.087,0.146,897.142,15.521
29,1.227,0.153,931.289,18.626
