,Tx,Tx_err,rad,rad_width
0,3.467,0.123,19.182,19.182
1,4.1,0.148,57.545,19.182
2,4.129,0.141,95.908,19.182
3,4.396,0.165,134.272,19.182
4,4.492,0.185,172.635,19.182
5,4.639,0.204,210.998,19.182
6,4.038,0.208,249.361,19.182
7,4.698,0.295,287.725,19.182
8,4.717,0.325,326.088,19.182
9,4.486,0.313,364.451,19.182
10,3.812,0.284,402.815,19.182
11,3.506,0.303,441.178,19.182
12,3.791,0.336,479.541,19.182
13,3.199,0.307,517.904,19.182
14,3.713,0.323,575.449,38.363
15,3.718,0.444,652.176,38.363
16,3.13,0.392,748.084,57.545
17,2.189,0.523,882.356,76.727
