,Tx,Tx_err,rad,rad_width
0,6.831,0.559,17.272,17.272
1,6.111,0.266,51.816,17.272
2,6.897,0.314,86.36,17.272
3,6.649,0.252,120.904,17.272
4,6.562,0.266,155.448,17.272
5,6.23,0.228,189.992,17.272
6,5.884,0.231,224.536,17.272
7,5.924,0.229,262.534,20.726
8,5.575,0.245,300.532,17.272
9,5.346,0.236,335.076,17.272
10,5.339,0.254,369.62,17.272
11,5.076,0.252,404.164,17.272
12,5.122,0.281,438.708,17.272
13,4.765,0.286,473.252,17.272
14,4.375,0.267,507.796,17.272
15,4.687,0.316,545.794,20.726
16,3.95,0.34,583.793,17.272
17,3.468,0.23,618.336,17.272
18,4.028,0.343,670.152,34.544
19,2.578,0.204,739.24,34.544
20,2.386,0.27,811.783,37.998
21,3.019,0.641,884.325,34.544
22,2.097,0.429,953.413,34.544
23,1.534,0.412,1043.227,55.27
