,Tx,Tx_err,rad,rad_width
0,3.169,0.09,26.148,26.148
1,3.228,0.106,65.369,13.074
2,3.289,0.107,91.517,13.074
3,3.16,0.107,117.665,13.074
4,3.069,0.108,143.813,13.074
5,3.167,0.13,169.961,13.074
6,3.141,0.124,198.723,15.689
7,3.471,0.157,227.486,13.074
8,3.484,0.154,253.634,13.074
9,3.025,0.144,279.781,13.074
10,2.921,0.162,305.929,13.074
11,2.918,0.176,332.077,13.074
12,3.126,0.209,358.225,13.074
13,2.989,0.187,386.987,15.689
14,2.872,0.159,428.824,26.148
15,2.606,0.144,481.119,26.148
16,2.598,0.152,533.415,26.148
17,2.784,0.171,588.325,28.763
18,2.884,0.237,643.236,26.148
19,2.682,0.21,695.531,26.148
20,2.202,0.192,750.442,28.763
