,Tx,Tx_err,rad,rad_width
0,7.204,0.245,21.324,21.324
1,6.922,0.143,63.973,21.324
2,6.53,0.115,106.621,21.324
3,6.528,0.125,149.27,21.324
4,6.268,0.131,191.918,21.324
5,6.333,0.148,234.567,21.324
6,5.467,0.139,281.48,25.589
7,5.057,0.14,328.394,21.324
8,5.212,0.163,371.042,21.324
9,4.715,0.17,413.691,21.324
10,4.99,0.228,456.339,21.324
11,4.184,0.22,498.988,21.324
12,5.257,0.314,545.901,25.589
13,5.09,0.389,592.814,21.324
14,5.764,0.611,635.463,21.324
15,4.85,0.53,678.111,21.324
16,2.788,0.257,720.76,21.324
17,3.25,0.537,763.408,21.324
18,2.791,0.474,806.057,21.324
19,1.784,0.353,852.97,25.589
20,1.774,0.278,899.884,21.324
21,2.36,0.586,942.532,21.324
22,13.647,4.498,985.181,21.324
23,10.303,5.844,1049.153,42.649
24,1.516,0.623,1117.391,25.589
