,Tx,Tx_err,rad,rad_width
0,3.944,0.127,31.532,31.532
1,3.978,0.128,78.83,15.766
2,4.141,0.131,110.361,15.766
3,3.461,0.1,141.893,15.766
4,3.172,0.101,173.425,15.766
5,4.131,0.172,208.11,18.919
6,4.074,0.215,242.795,15.766
7,3.984,0.233,274.327,15.766
8,4.443,0.296,305.859,15.766
9,4.221,0.309,337.39,15.766
10,3.929,0.324,368.922,15.766
11,3.657,0.35,400.454,15.766
12,3.304,0.304,435.139,18.919
13,3.778,0.39,485.59,31.532
14,3.991,0.47,548.653,31.532
15,2.384,0.345,611.717,31.532
16,4.531,0.931,677.934,34.685
17,2.379,0.475,759.917,47.298
18,1.482,0.306,857.665,50.451
