,Tx,Tx_err,rad,rad_width
0,6.724,0.281,19.701,19.701
1,6.281,0.159,59.102,19.701
2,6.328,0.149,98.504,19.701
3,6.416,0.156,137.905,19.701
4,6.291,0.155,177.307,19.701
5,6.372,0.175,216.708,19.701
6,6.493,0.2,256.11,19.701
7,6.211,0.211,295.511,19.701
8,6.298,0.227,334.913,19.701
9,5.654,0.234,374.314,19.701
10,5.984,0.271,413.716,19.701
11,5.534,0.248,453.118,19.701
12,6.048,0.295,492.519,19.701
13,6.331,0.382,531.921,19.701
14,5.945,0.363,571.322,19.701
15,5.122,0.325,610.724,19.701
16,5.393,0.421,650.125,19.701
17,5.031,0.317,709.227,39.402
18,4.428,0.348,788.03,39.402
19,4.245,0.412,866.834,39.402
20,3.281,0.275,965.337,59.102
21,3.074,0.527,1087.482,63.042
