,Tx,Tx_err,rad,rad_width
0,2.7,0.132,19.038,19.038
1,3.1,0.117,57.113,19.038
2,3.722,0.178,95.188,19.038
3,3.91,0.245,133.263,19.038
4,4.576,0.371,171.339,19.038
5,4.997,0.433,209.414,19.038
6,4.823,0.345,266.527,38.075
7,5.068,0.61,342.677,38.075
8,5.639,0.83,437.865,57.113
9,3.477,0.547,723.43,228.451
