name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
LoVoCCS-66B,328.03827,0.00048,0.00073,-19.71125,0.00057,0.00048,-17.825,9.4212,17.6221,0.9766,0.0193,0.0163
LoVoCCS-67,359.25191,5e-05,7e-05,-34.75818,5e-05,4e-05,54.8308,0.1477,0.1876,0.789,0.0017,0.0015
LoVoCCS-74,332.34498,0.00049,0.0006,-51.81102,0.00036,0.00036,63.3764,2.6621,3.6041,0.9112,0.0134,0.0129
LoVoCCS-75,346.80672,0.00024,0.00023,-15.22726,0.00024,0.00026,-74.56,3.1753,3.415,0.9458,0.0133,0.0132
LoVoCCS-76,348.25688,0.00028,0.00026,-21.63301,0.00018,0.0002,51.3038,2.6786,2.4043,0.8729,0.0122,0.0111
LoVoCCS-80,52.14995,0.00056,0.00049,-55.71033,0.00025,0.00027,-62.634,13.2973,12.1046,0.9817,0.0131,0.0082
LoVoCCS-85,12.34573,0.00023,0.0003,-29.52116,0.00024,0.00023,60.5881,3.2958,4.353,0.9232,0.0121,0.013
LoVoCCS-89,348.08099,0.00047,0.00057,-21.50389,0.0003,0.00058,85.0142,173.9235,3.773,0.9877,0.0184,0.0102
LoVoCCS-90,227.86217,0.00077,0.00074,6.35062,0.00066,0.00073,9.7661,9.616,9.1049,0.9808,0.0195,0.0203
LoVoCCS-93A,96.91127,0.00067,0.00066,-54.44341,0.00045,0.00031,27.3514,0.9202,0.9382,0.8247,0.0061,0.0074
LoVoCCS-93B,96.66251,0.00087,0.00072,-54.52785,0.00032,0.00042,12.9092,0.7926,1.1431,0.9148,0.0069,0.0066
LoVoCCS-94,191.15018,0.00037,0.00031,-11.99579,0.00026,0.00036,-74.2334,3.9646,5.5391,0.954,0.0167,0.0134
LoVoCCS-98,358.55784,0.00032,0.00029,-10.41624,0.00021,0.00025,-19.0129,61.9956,97.5019,0.9983,0.0077,0.0034
LoVoCCS-99,194.33595,0.00054,0.00068,-30.36531,0.00047,0.00048,-59.8086,3.1229,3.4321,0.9319,0.0092,0.0082
LoVoCCS-119,125.25854,6e-05,6e-05,7.86476,5e-05,7e-05,10.6081,2.0952,1.7288,0.9708,0.0051,0.006
LoVoCCS-121,52.48044,0.00031,0.00035,-52.58026,0.00021,0.00019,-50.2062,4.9497,4.7247,0.9639,0.0044,0.0047
LoVoCCS-123,193.67605,0.00036,0.00028,-29.22891,0.00027,0.00023,54.1931,3.6062,3.7058,0.9249,0.0086,0.0119
LoVoCCS-131,137.65155,0.00049,0.00042,-10.58253,0.0003,0.00053,-9.3276,3.5119,3.2435,0.9575,0.0155,0.0151
LoVoCCS-134,329.60257,0.00116,0.0011,-60.41842,0.00061,0.00063,85.1771,174.7785,4.5821,0.9997,0.0108,0.004
