components,separation,separation_95.4%conf_low,separation_95.4%conf_upp,separation_stddev
ICM-BCG,14.93 kpc,0.377 kpc,611.049 kpc,150.82 kpc
ICM-RS,34.667 kpc,1.061 kpc,394.885 kpc,129.383 kpc
ICM-WLM,56.463 kpc,2.311 kpc,705.094 kpc,167.727 kpc
