name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
LoVoCCS-66B,328.0383,0.00074,0.00038,-19.71128,0.00058,0.00045,-18.2614,15.9278,14.9242,0.9766,0.0205,0.0185
LoVoCCS-67,359.25192,7e-05,7e-05,-34.75819,5e-05,5e-05,54.8466,0.1599,0.2031,0.789,0.0014,0.0017
LoVoCCS-74,332.34501,0.0006,0.00046,-51.81106,0.00037,0.00029,63.4082,2.9325,3.7294,0.9112,0.0107,0.0135
LoVoCCS-75,346.80671,0.00024,0.00019,-15.22727,0.00025,0.00027,-75.168,3.0013,3.5351,0.9458,0.0114,0.0124
LoVoCCS-76,348.25685,0.0002,0.00022,-21.63303,0.00022,0.00024,51.5048,2.4759,1.8184,0.8729,0.009,0.01
LoVoCCS-80,52.14998,0.00047,0.00049,-55.71034,0.00024,0.00023,-62.5961,10.5866,13.4809,0.9817,0.0098,0.0104
LoVoCCS-85,12.34578,0.00025,0.00021,-29.52119,0.0003,0.00022,60.8463,3.0666,3.3532,0.9232,0.0111,0.0102
LoVoCCS-89,348.08096,0.00044,0.00047,-21.50379,0.0004,0.0004,86.6489,5.7197,5.7058,0.9877,0.0189,0.009
LoVoCCS-90,227.8623,0.00072,0.00095,6.35068,0.00066,0.00071,8.0486,6.7857,9.508,0.9808,0.0221,0.0162
LoVoCCS-93A,96.91137,0.0007,0.00078,-54.44348,0.00038,0.00044,27.476,0.9732,0.8175,0.8247,0.0062,0.0061
LoVoCCS-93B,96.66249,0.00085,0.00081,-54.52782,0.00039,0.00042,13.0329,0.9758,0.9121,0.9148,0.0066,0.0068
LoVoCCS-94,191.15018,0.00034,0.00033,-11.99576,0.00039,0.00029,-73.1505,4.8869,3.5406,0.954,0.0126,0.016
LoVoCCS-98,358.55783,0.00023,0.00028,-10.41625,0.00029,0.00025,-57.4205,49.3466,99.9484,0.9983,0.0073,0.0034
LoVoCCS-99,194.33604,0.0006,0.00062,-30.3653,0.00043,0.00046,-59.0525,3.6487,4.0879,0.9319,0.0083,0.0083
LoVoCCS-119,125.25854,7e-05,7e-05,7.86477,5e-05,7e-05,10.511,1.4012,2.0074,0.9708,0.0072,0.0042
LoVoCCS-121,52.48048,0.00038,0.00036,-52.58025,0.00021,0.00021,-50.0299,5.2012,4.3618,0.9639,0.0049,0.0054
LoVoCCS-123,193.67606,0.00025,0.00031,-29.2289,0.00024,0.00023,53.7771,4.6963,4.0449,0.9249,0.0117,0.0113
LoVoCCS-131,137.65153,0.00056,0.0005,-10.58249,0.00041,0.00039,-8.9425,3.3579,2.5592,0.9575,0.0145,0.0125
LoVoCCS-134,329.60264,0.00127,0.00113,-60.41837,0.00059,0.00061,89.6842,4.1761,3.5701,0.9997,0.0099,0.0042
