name,LoVoCCSID,parent_LoVoCCSID,telescope_examined,SNR,examined_energy_band,proper_dist_resolution,morph_class,morph_class_modifiers,morph_notes
LoVoCCS-74,74,74,XMM,112.43,0.5-2.0keV,8.38kpc/pix,LFB,,
LoVoCCS-75,75,75,XMM,145.3,0.5-2.0keV,8.7kpc/pix,CeP,,Bright core is slightly elongated
LoVoCCS-76,76,76,XMM,168.36,0.5-2.0keV,7.01kpc/pix,CeP,,
LoVoCCS-80,80,80,XMM,169.54,0.5-2.0keV,6.88kpc/pix,R,+PU,
LoVoCCS-85,85,85,XMM,140.09,0.5-2.0keV,8.52kpc/pix,R,,
LoVoCCS-89,89,89,XMM,86.56,0.5-2.0keV,8.68kpc/pix,LFB,,
LoVoCCS-90,90,90,XMM,77.77,0.5-2.0keV,6.61kpc/pix,LFB,,"Nearby-ish cluster at [227.6508, 6.2661], z~0.175"
LoVoCCS-93A,93A,93,XMM,172.32,0.5-2.0keV,4.25kpc/pix,LFB,+Ta,Very close to LoVoCCS-93B; tail-like emission to the east (right) of centre apparently connecting to the elongated emission of LoVoCCS-93B
LoVoCCS-93B,93B,93,XMM,143.55,0.5-2.0keV,4.24kpc/pix,S,+PU+Ta,"Very close to LoVoCCS-93A; nearly classed as LFB, but has a bright ish core, and elongation looks like a not quite finished merger"
LoVoCCS-94,94,94,XMM,83.13,0.5-2.0keV,7.67kpc/pix,LFB,,
LoVoCCS-98,98,98,XMM,195.98,0.5-2.0keV,6.23kpc/pix,S,+BCP+Sp+SD+PU+Ta,"Complex...; sharp edge to the south-west (lower right); bright core like to the west of centre; that along with previously mentioned sharp edge form a spiral-like, tail-like, structure; associated faint X-ray feature at [358.5828, -10.3252], in optical there is diffuse blue (at least in LS imagery) emission, and in UV there is extended emission (this collection of galaxies has MUSE data) "
LoVoCCS-99,99,99,XMM,165.72,0.5-2.0keV,4.62kpc/pix,LFB,,
LoVoCCS-108,108,108,,,,,,,
LoVoCCS-119,119,119,XMM,369.61,0.5-2.0keV,8.63kpc/pix,CeP,,Really strong core
LoVoCCS-121,121,121,XMM,290.09,0.5-2.0keV,5.16kpc/pix,MM,+NC2+PU+OI,"Fairly straightforward multi-modal morphology, but physically complicated. North-eastern (up and right) extended source that makes up the other component of the multi-modal distribution is likely a cluster at a much higher redshift (z~0.44). Seems to have a little substructure (hence OI) almost directly east (left) of LoVoCCS-121 central coordinate (at [52.7990339 -52.6002847]; z~0.056)"
LoVoCCS-122,122,122,,,,,,,
LoVoCCS-123,123,123,XMM,151.62,0.5-2.0keV,4.54kpc/pix,CeP,,
LoVoCCS-131,131,131,XMM,100.18,0.5-2.0keV,7.33kpc/pix,LFB,,
LoVoCCS-134,134,134,XMM,100.58,0.5-2.0keV,6.12kpc/pix,LFB,+OI,"Close [329.5401, -60.2453] faint extended source (hence OI); it is associated with the cluster (coincides with one of the BCG candidates manually selected for this system (BCG3, though that may change)."
