components,separation,separation_95.4%conf_low,separation_95.4%conf_upp,separation_stddev
ICM-BCG,20.782 kpc,1.091 kpc,809.698 kpc,233.892 kpc
ICM-RS,89.17 kpc,8.995 kpc,844.911 kpc,230.995 kpc
ICM-WLM,79.854 kpc,1.152 kpc,784.384 kpc,224.682 kpc
