name_x,LoVoCCS_name,LoVoCCSID_x,name_y,LoVoCCSID_y,Tmax,Tmax-,Tmax+,beta,beta-,beta+,inv_slope,inv_slope-,inv_slope+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+
LoVoCCS-36,LoVoCCS-36,36,LoVoCCS-36,36,5.76501,0.1524360429999998,0.0763821789999994,0.0167083,0.0023143228099999,0.0022188565599999,10.0,0.3272474130000002,-10.0,1.0371162510000001e+44,1.357546940965295e+43,8.232476217902822e+42,2.683297777e+44,8.362038192087322e+43,2.735466027722815e+43
LoVoCCS-37,LoVoCCS-37,37,LoVoCCS-37,37,6.49267,0.1756278610000006,0.1249222269999998,0.202143,0.0082717148999999,0.0139196054,10.0,3.232455067,-10.0,1.3562299680000002e+44,1.90609335529026e+42,7.075254591314961e+42,3.94082396e+44,5.502567942203113e+43,2.4533798063261093e+43
LoVoCCS-39,LoVoCCS-39,39,LoVoCCS-39,39,2.884,-14.75350223,14.812061,0.996136,0.996136,-0.98612849711,-0.944129,0.055871,0.944129,1.7182728800000002e+44,0.0,0.0,4.389789566000001e+44,0.0,0.0
LoVoCCS-40,LoVoCCS-40,40,LoVoCCS-40,40,15.9012,0.16228935,0.8988819899999996,0.0851118,0.0013031061,0.00222505984,-1.0,0.0,0.0,1.533780408e+44,3.2269062469487004e+41,3.626808254451801e+43,5.025299668e+44,1.5329073368535662e+44,-1.151800534092401e+43
LoVoCCS-41,LoVoCCS-41,41,LoVoCCS-41,41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-42,LoVoCCS-42,42,LoVoCCS-42,42,9.3008,0.6962177829999998,0.6926785229999997,0.0108375,0.0108375,0.00565649945,1.51109,0.4309890970000001,0.2948181889999999,1.5913305810000001e+44,5.403138259877581e+42,2.23097753146813e+42,5.399061804e+44,1.041994310848219e+43,1.6406487449548162e+43
LoVoCCS-43,LoVoCCS-43,43,LoVoCCS-43,43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-44,LoVoCCS-44,44,LoVoCCS-44,44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-45,LoVoCCS-45,45,LoVoCCS-45,45,7.32394,7.32394,-7.32394,0.992159,0.992159,-0.992159,9.88177,9.88177,-9.88177,2.576945848e+44,0.0,0.0,1.005131773e+45,0.0,0.0
LoVoCCS-46,LoVoCCS-46,46,LoVoCCS-46,46,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.172454596e+44,1.1130440251380011e+43,3.750454703857978e+43,3.7626764420000004e+44,1.9253678184431775e+44,1.2634514315911634e+44
LoVoCCS-47,LoVoCCS-47,47,LoVoCCS-47,47,,,,,,,,,,,,,,,
LoVoCCS-48,LoVoCCS-48,48,LoVoCCS-48,48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-49,LoVoCCS-49,49,LoVoCCS-49,49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-50,LoVoCCS-50,50,LoVoCCS-50,50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-51,LoVoCCS-51,51,LoVoCCS-51,51,18.0227,8.938408689000001,-18.0227,0.126454,0.0096247385,0.0582685942999999,-0.487881,0.2351820609,0.0921889675,1.302524069e+44,1.302524069e+44,4.442261234765465e+43,4.137264255e+44,4.137264163084683e+44,2.2300358176434188e+44
LoVoCCS-52,LoVoCCS-52,52,LoVoCCS-52,52,,,,,,,,,,,,,,,
LoVoCCS-53,LoVoCCS-53,53,LoVoCCS-53,53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-56,LoVoCCS-56,56,LoVoCCS-56,56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-57,LoVoCCS-57,57,LoVoCCS-57,57,20.0,1.8500589299999997,-20.0,0.072227,0.01563133581,0.01674835448,6.49144,2.609546374,-6.49144,1.921066832e+44,6.6660578986786005e+41,2.0264098214277842e+43,8.390826017e+44,1.5565819744121717e+44,3.507577327606306e+43
LoVoCCS-58,LoVoCCS-58,58,LoVoCCS-58,58,6.50036,0.545043669,0.5615131730000007,0.150334,0.0174993187999999,0.0191961608,-1.0,-1.0,0.0381111966999999,nan,nan,nan,2.817915449e+44,4.2179813949019603e+43,5.95046050513266e+42
LoVoCCS-59,LoVoCCS-59,59,LoVoCCS-59,59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-60,LoVoCCS-60,60,LoVoCCS-60,60,5.25402,5.25402,-5.25402,0.992548,0.992548,-0.992548,9.18083,9.18083,-9.18083,9.849374638000001e+43,0.0,0.0,3.286893429e+44,0.0,0.0
LoVoCCS-61,LoVoCCS-61,61,LoVoCCS-61,61,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.6071412140000003e+44,1.8993447580694503e+42,4.8897395161721e+41,5.869082323e+44,3.58657818993137e+42,2.1741820143830554e+43
LoVoCCS-63,LoVoCCS-63,63,LoVoCCS-63,63,9.31648,0.3473861449999997,0.4908264339999988,0.0107936,0.0107936,0.0042476371999999,1.57434,0.2184200140000001,0.3170118399999999,1.5186432370000001e+44,1.94680626729508e+42,7.7212374553646e+41,5.152075259000001e+44,3.10635144669346e+42,6.914114809511481e+42
LoVoCCS-64,LoVoCCS-64,64,LoVoCCS-64,64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-65,LoVoCCS-65,65,LoVoCCS-65,65,,,,,,,,,,,,,,,
LoVoCCS-66,LoVoCCS-66,66,LoVoCCS-66,66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-67,LoVoCCS-67,67,LoVoCCS-67,67,,,,,,,,,,,,,,,
LoVoCCS-68,LoVoCCS-68,68,LoVoCCS-68,68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-69,LoVoCCS-69,69,LoVoCCS-69,69,19.854,9.866770644,-13.906230123,0.0844004,0.0053453210999999,0.0017777458499999,-0.505013,0.0157642260999999,0.0497042357,1.1053559040000002e+44,7.076056818438349e+43,4.2636866887170704e+43,3.239161991e+44,1.141298940703643e+44,9.289066157981881e+43
LoVoCCS-70,LoVoCCS-70,70,LoVoCCS-70,70,,,,,,,,,,,,,,,
LoVoCCS-71,LoVoCCS-71,71,LoVoCCS-71,71,3.43956,3.43956,-3.43956,0.9903,0.9903,-0.9903,8.91157,8.91157,-8.91157,1.0896464520000001e+44,0.0,0.0,2.9924459620000005e+44,0.0,0.0
LoVoCCS-72,LoVoCCS-72,72,LoVoCCS-72,72,7.20458,0.6740076740000003,0.3137731510000003,0.0155106,0.0155106,0.2701127185,0.922408,0.2377135456,0.1842749439999998,1.171870352e+44,5.1645842100996406e+42,1.8128873428882204e+42,3.727016129e+44,3.30336333995279e+42,1.6288066502902942e+43
LoVoCCS-74,LoVoCCS-74,74,LoVoCCS-74,74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
LoVoCCS-75,LoVoCCS-75,75,LoVoCCS-75,75,19.9047,10.317506227,-14.617664950999998,0.0889702,0.00470634786,0.0017014032299999,-0.425685,0.0157816486,0.0478989938999999,1.235481944e+44,1.235481944e+44,4.1445971619787997e+43,3.487838998e+44,1.3388051215535824e+44,1.0788113059270264e+44
LoVoCCS-76,LoVoCCS-76,76,LoVoCCS-76,76,19.9096,8.76121127,-14.365872875,0.0909978,0.00564448574,0.00171454402,-0.425854,0.0179186270999999,0.0467203086999999,1.157441752e+44,1.228281128399475e+43,4.2452280346033655e+43,3.2919496470000005e+44,3.2919494002114566e+44,6.992736739922019e+43
