name,0,1,2,3,4,5,6,7,8,9,10,converged
LoVoCCS-1,500.0,1257.8619351583422,,,,,,,,,,False
LoVoCCS-2,500.0,1337.9035748101269,,,,,,,,,,False
LoVoCCS-4A,500.0,1096.005919208999,,,,,,,,,,False
LoVoCCS-4B,500.0,1016.9257585812917,1181.2442404569783,1132.103667069485,1144.764889338936,1144.764889338936,1144.764889338936,1144.764889338936,1144.764889338936,1144.764889338936,1144.764889338936,True
LoVoCCS-5,500.0,1130.7294977963065,1119.1432959891158,1118.951589815377,1119.049232080432,1119.049232080432,1119.049232080432,1119.049232080432,1119.049232080432,1119.049232080432,1119.049232080432,True
LoVoCCS-7,500.0,1210.8575484375433,1136.2676118675158,1159.4198942602573,1149.34441379855,1149.34441379855,1149.34441379855,1149.34441379855,1149.34441379855,1149.34441379855,1149.34441379855,True
LoVoCCS-9,500.0,1381.4390584309597,1171.4807730626553,1293.5440613878832,1209.8718861453597,1209.8718861453597,1209.8718861453597,1209.8718861453597,1209.8718861453597,1209.8718861453597,1209.8718861453597,True
LoVoCCS-10,500.0,1161.326780690643,1113.5515632877875,1128.896877602456,1129.5039073474982,1129.5039073474982,1129.5039073474982,1129.5039073474982,1129.5039073474982,1129.5039073474982,1129.5039073474982,True
LoVoCCS-11,500.0,1410.9321150036444,,,,,,,,,,False
LoVoCCS-12,500.0,1222.3749915796486,,,,,,,,,,False
LoVoCCS-13,500.0,968.5994277978426,939.7733410206786,946.208693861257,944.9519451695502,944.9519451695502,944.9519451695502,944.9519451695502,944.9519451695502,944.9519451695502,944.9519451695502,True
LoVoCCS-14,500.0,1238.9684056079404,,,,,,,,,,False
LoVoCCS-15,500.0,848.7246553332096,890.3084827895011,892.3516860061749,892.2373489173298,892.2373489173298,892.2373489173298,892.2373489173298,892.2373489173298,892.2373489173298,892.2373489173298,True
LoVoCCS-18,500.0,1088.9870716268167,1027.8313522214667,1053.4021242659755,1043.6154492747235,1043.6154492747235,1043.6154492747235,1043.6154492747235,1043.6154492747235,1043.6154492747235,1043.6154492747235,True
LoVoCCS-21,500.0,1090.2814720608617,,,,,,,,,,False
LoVoCCS-22,500.0,1078.0435096654244,1008.552980327586,1012.7862051134731,1010.640027501083,1010.640027501083,1010.640027501083,1010.640027501083,1010.640027501083,1010.640027501083,1010.640027501083,True
LoVoCCS-24,500.0,1082.7752422593799,1035.686053938794,1042.188859423844,1039.9921876523306,1039.9921876523306,1039.9921876523306,1039.9921876523306,1039.9921876523306,1039.9921876523306,1039.9921876523306,True
LoVoCCS-26,500.0,1026.5706132444984,1027.0289486225408,1027.7149378487668,1027.8778095324608,1027.8778095324608,1027.8778095324608,1027.8778095324608,1027.8778095324608,1027.8778095324608,1027.8778095324608,True
LoVoCCS-27,500.0,1062.4937437497397,,,,,,,,,,False
LoVoCCS-28,500.0,1199.332051822869,887.9334660822839,1157.2996957012663,917.8979388947527,1151.5074502907378,917.1465012005949,1151.012796126018,916.4966019603506,1150.7310463866447,916.5985965900909,False
LoVoCCS-29,500.0,1019.4558852601634,1025.6383677958077,1024.2931474491586,1024.8150953939335,1024.8150953939335,1024.8150953939335,1024.8150953939335,1024.8150953939335,1024.8150953939335,1024.8150953939335,True
LoVoCCS-30,500.0,858.115073487112,,,,,,,,,,False
LoVoCCS-31,500.0,1218.451386159852,1029.4846989784432,1121.828324404925,1096.053610458082,1096.053610458082,1096.053610458082,1096.053610458082,1096.053610458082,1096.053610458082,1096.053610458082,True
LoVoCCS-35,500.0,1119.653957591305,1011.2044443124797,1042.2795939808232,1032.5961249201457,1032.5961249201457,1032.5961249201457,1032.5961249201457,1032.5961249201457,1032.5961249201457,1032.5961249201457,True
LoVoCCS-39,500.0,,,,,,,,,,,False
LoVoCCS-41A,500.0,948.3225412874291,953.3607933744329,953.7944786051908,953.5901016868256,953.5901016868256,953.5901016868256,953.5901016868256,953.5901016868256,953.5901016868256,953.5901016868256,True
LoVoCCS-41B,500.0,750.6070927648344,796.7452306296697,804.6335756829852,801.4087852656584,801.4087852656584,801.4087852656584,801.4087852656584,801.4087852656584,801.4087852656584,801.4087852656584,True
LoVoCCS-42,500.0,1044.5969052563717,976.8084661463577,1011.3941407899754,998.6865746738367,998.6865746738367,998.6865746738367,998.6865746738367,998.6865746738367,998.6865746738367,998.6865746738367,True
LoVoCCS-45,500.0,1135.9465501705015,1170.0702486073012,1168.522642287878,1168.4635927970446,1168.4635927970446,1168.4635927970446,1168.4635927970446,1168.4635927970446,1168.4635927970446,1168.4635927970446,True
