name,Tx_300kpc,Tx_300kpc-,Tx_300kpc+,met_300kpc,met_300kpc-,met_300kpc+,Lx52_300kpc,Lx52_300kpc-,Lx52_300kpc+,Lxbol_300kpc,Lxbol_300kpc-,Lxbol_300kpc+,Tx_500kpc,Tx_500kpc-,Tx_500kpc+,met_500kpc,met_500kpc-,met_500kpc+,Lx52_500kpc,Lx52_500kpc-,Lx52_500kpc+,Lxbol_500kpc,Lxbol_500kpc-,Lxbol_500kpc+,Tx_1000kpc,Tx_1000kpc-,Tx_1000kpc+,met_1000kpc,met_1000kpc-,met_1000kpc+,Lx52_1000kpc,Lx52_1000kpc-,Lx52_1000kpc+,Lxbol_1000kpc,Lxbol_1000kpc-,Lxbol_1000kpc+
LoVoCCS-45,5.766,0.098,0.106,0.298,0.026,0.027,0.662,0.006,0.005,2.314,0.027,0.027,5.738,0.079,0.096,0.295,0.022,0.023,1.084,0.007,0.008,3.778,0.029,0.033,6.208,0.109,0.11,0.324,0.028,0.029,1.582,0.012,0.011,5.739,0.062,0.068
LoVoCCS-46A,4.118,0.09,0.088,0.255,0.032,0.033,0.415,0.004,0.003,1.254,0.017,0.017,4.315,0.068,0.074,0.349,0.027,0.027,0.847,0.006,0.005,2.619,0.022,0.027,4.471,0.087,0.087,0.33,0.031,0.031,1.335,0.012,0.009,4.182,0.043,0.048
LoVoCCS-46B,2.831,0.251,0.262,0.112,0.074,0.086,0.06,0.002,0.002,0.154,0.008,0.007,2.943,0.237,0.256,0.121,0.072,0.082,0.112,0.003,0.003,0.288,0.014,0.015,2.355,0.308,0.338,0.077,0.073,0.089,0.141,0.005,0.007,0.338,0.029,0.028
LoVoCCS-46C,4.455,0.057,0.057,0.366,0.022,0.023,0.446,0.003,0.003,1.383,0.013,0.012,4.256,0.044,0.044,0.356,0.018,0.018,0.773,0.004,0.004,2.347,0.02,0.016,4.117,0.058,0.056,0.304,0.019,0.019,1.195,0.006,0.005,3.565,0.035,0.025
LoVoCCS-48A,0.011,0.011,-0.011,0.026,0.026,-0.026,0.0,0.0,23.779,0.0,0.0,845068958.577,3.885,0.093,0.09,0.269,0.03,0.031,0.735,0.006,0.005,2.168,0.025,0.03,3.654,0.152,0.161,0.311,0.052,0.055,1.064,0.013,0.013,3.069,0.084,0.081
LoVoCCS-48B,3.426,0.083,0.098,0.409,0.037,0.039,0.147,0.001,0.002,0.404,0.005,0.006,3.999,0.105,0.11,0.276,0.036,0.036,0.299,0.003,0.003,0.878,0.012,0.013,4.194,0.129,0.13,0.214,0.039,0.04,0.673,0.005,0.007,2.016,0.033,0.035
LoVoCCS-49,3.527,0.043,0.043,0.5,0.025,0.026,1.101,0.007,0.007,3.155,0.03,0.03,3.539,0.043,0.043,0.45,0.023,0.024,1.32,0.008,0.008,3.784,0.032,0.033,3.55,0.054,0.054,0.417,0.026,0.026,1.564,0.01,0.012,4.489,0.042,0.031
LoVoCCS-51,4.194,0.06,0.061,0.285,0.022,0.023,0.722,0.006,0.005,2.169,0.021,0.019,4.181,0.058,0.058,0.253,0.02,0.02,0.988,0.005,0.005,2.959,0.027,0.019,4.121,0.082,0.076,0.19,0.023,0.023,1.327,0.009,0.008,3.937,0.046,0.035
LoVoCCS-58,2.563,0.075,0.09,0.289,0.035,0.039,0.43,0.009,0.009,1.052,0.025,0.016,2.629,0.082,0.076,0.243,0.031,0.033,0.618,0.012,0.012,1.528,0.035,0.034,2.652,0.133,0.145,0.178,0.036,0.039,0.903,0.021,0.023,2.242,0.069,0.057
LoVoCCS-60A,6.018,0.076,0.076,0.234,0.019,0.019,0.285,0.003,0.003,1.01,0.015,0.015,5.88,0.065,0.065,0.235,0.016,0.016,0.513,0.005,0.005,1.8,0.023,0.023,5.56,0.074,0.074,0.196,0.018,0.019,0.934,0.013,0.007,3.182,0.034,0.041
LoVoCCS-60B,5.351,0.061,0.061,0.314,0.019,0.019,0.352,0.003,0.005,1.186,0.019,0.019,5.874,0.075,0.075,0.308,0.02,0.02,0.47,0.004,0.006,1.656,0.024,0.028,5.968,0.123,0.122,0.363,0.033,0.034,0.689,0.011,0.015,2.457,0.044,0.055
LoVoCCS-61,6.436,0.052,0.055,0.288,0.012,0.013,0.896,0.003,0.003,3.293,0.017,0.015,6.074,0.045,0.048,0.263,0.011,0.011,1.213,0.003,0.004,4.333,0.022,0.018,5.867,0.056,0.056,0.247,0.014,0.014,1.513,0.005,0.004,5.311,0.031,0.022
LoVoCCS-63,5.191,0.068,0.068,0.314,0.02,0.021,0.789,0.005,0.004,2.627,0.021,0.023,5.0,0.058,0.058,0.275,0.017,0.018,1.138,0.006,0.004,3.711,0.029,0.031,4.698,0.068,0.068,0.232,0.02,0.02,1.512,0.007,0.007,4.776,0.048,0.046
LoVoCCS-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-66A,3.683,0.105,0.109,0.246,0.04,0.043,0.662,0.01,0.007,1.917,0.034,0.038,3.96,0.125,0.128,0.26,0.045,0.047,0.824,0.012,0.01,2.453,0.04,0.049,3.906,0.162,0.166,0.243,0.054,0.058,1.075,0.021,0.016,3.182,0.079,0.078
LoVoCCS-66B,3.267,0.113,0.111,0.158,0.038,0.04,0.153,0.003,0.003,0.411,0.01,0.009,3.752,0.134,0.142,0.094,0.039,0.04,0.228,0.003,0.003,0.648,0.014,0.017,4.127,0.19,0.188,0.0,0.0,0.041,0.448,0.007,0.012,1.316,0.033,0.051
LoVoCCS-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-74,4.445,0.107,0.108,0.342,0.039,0.041,0.504,0.007,0.006,1.562,0.027,0.031,4.341,0.104,0.105,0.31,0.036,0.037,0.707,0.007,0.006,2.163,0.038,0.024,4.282,0.13,0.14,0.27,0.044,0.046,0.966,0.013,0.01,2.929,0.066,0.04
LoVoCCS-75,3.409,0.074,0.09,0.547,0.048,0.049,0.837,0.01,0.011,2.367,0.041,0.042,3.347,0.071,0.072,0.437,0.039,0.041,1.073,0.015,0.013,3.006,0.06,0.048,3.349,0.09,0.092,0.421,0.043,0.046,1.421,0.017,0.015,3.982,0.07,0.078
LoVoCCS-76,3.206,0.041,0.044,0.396,0.023,0.023,0.881,0.008,0.008,2.356,0.025,0.021,3.203,0.044,0.047,0.365,0.022,0.022,1.042,0.007,0.006,2.784,0.032,0.02,3.106,0.07,0.066,0.313,0.025,0.026,1.316,0.013,0.011,3.468,0.053,0.042
LoVoCCS-80,5.077,0.079,0.083,0.354,0.026,0.027,0.755,0.006,0.005,2.491,0.024,0.029,5.173,0.087,0.09,0.323,0.026,0.026,0.993,0.007,0.007,3.3,0.035,0.041,5.306,0.133,0.132,0.358,0.04,0.041,1.268,0.014,0.015,4.274,0.07,0.093
LoVoCCS-85,3.562,0.06,0.061,0.312,0.026,0.026,0.526,0.006,0.005,1.47,0.017,0.016,3.731,0.069,0.069,0.292,0.026,0.026,0.682,0.005,0.005,1.943,0.022,0.029,4.015,0.111,0.121,0.259,0.035,0.036,0.911,0.009,0.008,2.681,0.051,0.036
LoVoCCS-89,5.176,0.294,0.323,0.31,0.084,0.093,0.497,0.008,0.008,1.651,0.061,0.053,4.732,0.25,0.279,0.306,0.082,0.088,0.677,0.01,0.01,2.155,0.056,0.068,4.661,0.346,0.386,0.222,0.098,0.107,0.919,0.026,0.014,2.892,0.158,0.127
LoVoCCS-90,3.7,0.152,0.165,0.38,0.065,0.071,0.576,0.008,0.008,1.677,0.034,0.03,3.756,0.177,0.18,0.378,0.068,0.075,0.771,0.014,0.01,2.256,0.064,0.05,4.12,0.285,0.329,0.488,0.115,0.137,0.909,0.019,0.015,2.772,0.144,0.1
LoVoCCS-93A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-93B,5.011,0.203,0.219,0.102,0.058,0.06,0.204,0.002,0.002,0.658,0.011,0.014,4.791,0.213,0.223,0.022,0.022,0.059,0.37,0.004,0.006,1.166,0.022,0.027,4.386,0.365,0.367,0.0,0.0,0.095,0.611,0.007,0.019,1.861,0.069,0.122
LoVoCCS-94,4.133,0.102,0.1,0.347,0.039,0.041,0.476,0.007,0.008,1.424,0.029,0.033,4.16,0.102,0.101,0.305,0.036,0.037,0.646,0.01,0.01,1.934,0.029,0.033,4.117,0.149,0.146,0.226,0.045,0.047,0.875,0.016,0.017,2.601,0.082,0.071
LoVoCCS-98,3.801,0.047,0.047,0.359,0.02,0.021,0.597,0.004,0.004,1.722,0.013,0.015,3.807,0.048,0.051,0.329,0.019,0.02,0.779,0.004,0.005,2.244,0.019,0.024,3.467,0.083,0.077,0.247,0.023,0.024,1.011,0.008,0.007,2.788,0.042,0.033
LoVoCCS-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-119,2.837,0.015,0.015,0.447,0.01,0.01,0.445,0.002,0.002,1.129,0.007,0.005,3.009,0.018,0.018,0.403,0.009,0.01,0.563,0.002,0.002,1.464,0.007,0.007,2.81,0.026,0.026,0.307,0.01,0.01,0.744,0.003,0.003,1.882,0.013,0.013
LoVoCCS-121,2.791,0.042,0.042,0.249,0.016,0.016,0.233,0.001,0.001,0.59,0.006,0.004,2.319,0.044,0.048,0.211,0.014,0.015,0.325,0.002,0.002,0.771,0.01,0.007,1.701,0.093,0.065,0.203,0.042,0.039,0.387,0.01,0.008,0.841,0.038,0.029
LoVoCCS-123,4.308,0.059,0.065,0.314,0.021,0.022,0.415,0.003,0.003,1.263,0.013,0.011,4.115,0.077,0.076,0.246,0.025,0.026,0.53,0.003,0.003,1.576,0.019,0.012,3.884,0.138,0.146,0.155,0.042,0.044,0.685,0.01,0.009,1.979,0.051,0.035
LoVoCCS-131,4.268,0.114,0.131,0.255,0.039,0.041,0.511,0.008,0.008,1.547,0.031,0.028,4.267,0.112,0.124,0.217,0.035,0.037,0.74,0.007,0.007,2.233,0.045,0.028,4.415,0.163,0.168,0.186,0.047,0.05,1.04,0.016,0.013,3.183,0.087,0.058
LoVoCCS-134,3.792,0.101,0.11,0.16,0.033,0.034,0.177,0.002,0.002,0.507,0.01,0.009,3.618,0.086,0.094,0.139,0.026,0.027,0.332,0.004,0.003,0.931,0.016,0.013,2.845,0.101,0.105,0.094,0.025,0.026,0.568,0.007,0.007,1.449,0.028,0.026
