name,gm500,gm500-,gm500+
LoVoCCS-7,6.284538313096435,0.006367062458124218,0.006701691322844531
LoVoCCS-10,4.382998898880395,0.005587875821713281,0.005707850774620312
LoVoCCS-13,3.1042745587412597,0.0006995187004937499,0.00071921388181875
LoVoCCS-15,1.4196627301803573,0.0004443992545898437,0.0004369657995832031
LoVoCCS-18,4.526817032814749,0.0039655846841390625,0.0040197690989
LoVoCCS-22,4.218333001755318,0.029560266522871092,0.04113312183617031
LoVoCCS-24,5.185028657089303,0.0038631175774304686,0.003839016352997656
LoVoCCS-26,3.6810641925742122,0.008076444655248437,0.10365782962891874
LoVoCCS-29,2.917207987463304,0.0034287754636562495,0.0034765467835757807
LoVoCCS-31,4.639535875038535,0.005141636404276562,0.005300769908410937
LoVoCCS-35,4.574829002466771,0.006340461969135937,0.006344675619008593
LoVoCCS-41A,1.7426982798278479,0.010281694644054491,0.009692951253808788
LoVoCCS-41B,1.6967983583079589,0.007090018373859765,0.007431436783163867
LoVoCCS-42,1.2011832074684554,0.0025558692399304684,0.00250470008128125
LoVoCCS-45,1.9166274543670787,0.0024317028178066405,0.0024317605245492186
LoVoCCS-46A,3.8558656284297856,0.0031065840020023435,0.0031785359738570307
LoVoCCS-46C,3.5250201454670456,0.0038299130782117182,0.004046319748645312
LoVoCCS-48A,nan,nan,nan
LoVoCCS-48B,0.13029482102158904,0.0016405558302502684,0.0015645525409455077
LoVoCCS-49,1.6438554495838837,0.019886332359518553,0.011755619068021288
LoVoCCS-51,2.8374129178999956,0.00471384953003789,0.004549709828942578
LoVoCCS-58,0.9832992432914476,0.005332950541539648,0.005340204011452539
LoVoCCS-60A,2.088131990315115,0.0024193393414675777,0.0024609829338398436
LoVoCCS-60B,0.950731137067691,0.0014548143687152341,0.0014492109333234375
LoVoCCS-61,3.2235809732512615,0.016542538874045703,0.015943307717278123
LoVoCCS-63,4.10985493448159,0.024563719950291402,0.016415144250454684
LoVoCCS-66A,4.80395977423601,0.012048909844221092,0.012155638001965624
LoVoCCS-66B,nan,nan,nan
LoVoCCS-74,1.297778103219077,0.008155808059624608,0.007867517743063476
LoVoCCS-75,2.0777847221966543,0.006967556630861327,0.01017354161176289
LoVoCCS-76,1.2104982676577594,0.004004374306509179,0.003958948319310156
LoVoCCS-80,0.8943197608872117,0.001716594246996289,0.0018559879687248045
LoVoCCS-85,1.155582866272535,0.01416171209849785,0.013521886019686132
LoVoCCS-89,2.6937589601555736,0.030031069917350387,0.03110587378273164
LoVoCCS-90,2.9778112080541277,0.018017141577622263,0.01742749405298281
LoVoCCS-93B,nan,nan,nan
LoVoCCS-94,0.2986295986771168,0.0016123564316653806,0.0015125402108987303
LoVoCCS-98,1.852588315413234,0.005903925694572265,0.0060456622556585935
LoVoCCS-119,0.8896554731049601,0.0019706906786085936,0.0019486537038593747
LoVoCCS-121,0.7849611439003623,0.0034310967978779293,0.0033212487553562495
LoVoCCS-123,0.7915065799330024,0.019469848316975878,0.008591313550762597
LoVoCCS-131,1.4562320876238883,0.011175031667424413,0.01171144678000664
LoVoCCS-134,1.7382506146565677,0.006554341514115624,0.006620238794430663
