parent_LoVoCCSID,cluster,redshift_target,BCG_ra,BCG_dec,mass_map_ra,mass_map_dec,RS_map_ra,RS_map_dec,BCG_angle,mass_map_angle_05,mass_map_angle_10,mass_map_angle_20,RS_map_angle_05,RS_map_angle_10,RS_map_angle_20,cluster_type
76,A2556,0.0871,348.2559634437128,-21.63439727,nan,nan,348.2619070201512,-21.64533279,42.31,nan,nan,nan,9.736969616,7.976236534254509,23.80169797445586,a
80,A3126,0.0844,52.14967534130892,-55.71241597,52.14977028954036,-55.71229433,52.14842047956299,-55.7112934,-65.88,84.66189395,87.05272323582338,-75.13159372,76.26486212432074,45.170543817867795,75.72929649923405,a
85,RXCJ0049.4-2931,0.10843,12.345246834664138,-29.52023703,12.364485461835363,-29.52229253,12.337340238317102,-29.51844807,35.29,28.522963390168446,27.993527001995403,24.199365651312608,74.88881834517298,-82.5728149,67.49781833623072,a
89,A2554,0.1087,348.08301875364515,-21.50273055,348.07510464849713,-21.49227208,348.07348685869783,-21.49179548,-84.87,-12.45874935,-4.653990321,1.6752927918657097,-72.7019416,-72.1864811,46.66166906837985,a
90,A2033,0.0822,227.86051563002064,6.349123043545577,nan,nan,nan,nan,-36.33,nan,nan,nan,nan,nan,nan,a
93,A3395,0.051,96.90113491,-54.44941589,96.66840043231694,-54.59239022,96.84726032096341,-54.45408184,33.97,44.64356055757096,81.59777662,-73.50878034,35.41759512707524,28.11283094486061,44.641178701845746,b
94,A1606,0.0963,191.15074032871553,-11.99447953,191.15299041707308,-12.00725119,191.1483840491371,-12.00728143,-80.06,63.54204603214248,48.01814913609507,74.58062501731509,-67.72947064,55.68980076523992,26.25042245491395,a
98,A2670,0.0761,358.55700318260233,-10.41907627,358.54045895238244,-10.40533153,358.5550820661163,-10.41350985,30.25,-62.1196546,19.35817161291454,53.66051550021497,84.52705329140156,-64.80086584,-62.85063033,a
99,A3532,0.055525,194.34151986144022,-30.3636072,194.33253956467414,-30.36453621,194.31587675390722,-30.36908181,-7.6,-27.27677694,3.1288646967519904,57.88957005698032,-39.68227907,-25.74701414,-12.60403916,a
108,RXCJ1139.4-3327,0.1076,174.84808558443598,-33.44669853,174.8308095028521,-33.4598653,174.84962243253236,-33.44123521,76.94,-69.70101521,84.80901904,-38.28803188,-85.20182758,-83.52406325,78.28381472935591,a
119,RXJ0820.9+0751,0.1100741,125.25949902077473,7.863160774255133,125.25716836476022,7.871541296730016,125.27067932239116,7.857578998791944,14.93,-56.27937484,87.37478138606245,-73.94944094,8.008289414341956,44.56472556186534,-38.93876593,a
121,A3128,0.0554,52.660193568123894,-52.61947249,52.64362596808228,-52.53116088,52.61796269141029,-52.55723188,-80.54,-80.24918205,78.06116429984326,49.57219721453185,-86.16506545,-87.36457513,-64.33766479,c
122,A1023,0.117,156.9945378539402,-6.799005491,157.00072453186078,-6.786601138,156.99472550875115,-6.790721541,48.76,27.311738000317348,-19.62575751,-31.74947269,44.03354663842017,52.57051072270055,75.35899182873324,a
123,A3528,0.0553,193.5926227823994,-29.01305347,193.60830935480072,-29.00306686,193.5912648071274,-29.00295291,89.44,-86.36496804,-76.23822092,-86.58850832,-89.30193121,76.93958619244728,74.50961090675604,b
131,A761,0.091,137.64970688390434,-10.58236559,137.64613884068964,-10.58719258,137.68320881548374,-10.58788424,0.62,-56.03494861,32.334398524439884,-48.38146661,34.66684859226167,17.68497469144794,0.5859025240144827,a
134,A3825,0.0744,329.60740261616166,-60.39130971,nan,nan,329.62072380625216,-60.35672983,79.58,nan,nan,nan,-77.57251379,-76.61908574,-6.93279822,b
