LoVoCCSID,cluster_name,bcg1_name,bcg1_ra,bcg1_dec,bcg1_z,bcg1_z_src,bcg1_pa,bcg1_pa_src,bcg1_vlass,bcg1_notes,bcg2_name,bcg2_ra,bcg2_dec,bcg2_z,bcg2_z_src,bcg2_pa,bcg2_pa_src,bcg2_vlass,bcg2_notes,bcg3_name,bcg3_ra,bcg3_dec,bcg3_z,bcg3_z_src,bcg3_pa,bcg3_pa_src,bcg3_vlass,bcg3_notes
42,A3822,,328.5171,-57.8674,0.0756,https://ned.ipac.caltech.edu/byname?objname=WISEA+J215404.18-575203.2&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,,,,328.5466,-57.8446,0.074,https://dev-rcsed2.voxastro.org/data/galaxy/64405,40.3,RCSED,,,,,,,,,,,
45,A2941,,26.2400,-53.0199,,,,,,No redshift in NED either; BCGs are pretty ambiguous,,26.2455,-53.0199,0.118,https://dev-rcsed2.voxastro.org/data/galaxy/811226,-89.8,RCSED,,,,26.2648,-53.0229,0.1183,https://ned.ipac.caltech.edu/byname?objname=WISEA+J014503.58-530123.3&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,,Maybe a smidge bigger?
46A,A2440Centre,,335.9872,-1.5832,0.09,https://dev-rcsed2.voxastro.org/data/galaxy/57953,42.7,RCSED,False,,,,,,,,,,,,,,,,,,,
46B,A2440North,,336.0569,-1.5285,0.0933,https://ned.ipac.caltech.edu/byname?objname=2MASS+J22241366-0131426&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,False,,,,,,,,,,,,,,,,,,,
46C,A2440South,,335.9491,-1.6504,0.0894,https://dev-rcsed2.voxastro.org/data/spec/4515749,30.3,RCSED,True,VLASS point,,,,,,,,,,,,,,,,,,
48A,A1644S,,194.2984,-17.4095,0.047,https://dev-rcsed2.voxastro.org/data/galaxy/30313,41.3,RCSED,True,VLASS significant; sloshing clear in ICM,,,,,,,,,,,,,,,,,,
48B,A1644N,,194.4554,-17.2729,0.0495,https://dev-rcsed2.voxastro.org/data/galaxy/30403,1.3,RCSED,True,VLASS significant,,,,,,,,,,,,,,,,,,
49,A1348,,175.3508695,-12.2772751,,https://ned.ipac.caltech.edu/byname?objname=LCRS+B113851.7-115959&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,True,VLASS significant; NED redshift from 0.05 to 0.1; SOAR observation in hand,,,,,,,,,,,,,,,,,,
51,RBS 1847,,334.5021,-65.1813,0.0941,https://dev-rcsed2.voxastro.org/data/galaxy/64126,103.9,RCSED,,,,,,,,,,,,,,,,,,,,
55,RXC J1215.4-3900,,183.8643,-39.0321,0.117,https://dev-rcsed2.voxastro.org/data/galaxy/106806,43.5,RCSED,False,,,,,,,,,,,,,,,,,,,
58,A2351,,323.5677,-13.4294,0.089822,https://ned.ipac.caltech.edu/byname?objname=WISEA+J213416.21-132547.0&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,False,,,,,,,,,,,,,,,,,,,
60A,RXC J2218.2-0350 East,,334.5712,-3.8225,,https://ned.ipac.caltech.edu/byname?objname=WISEA+J221817.08-034921.8&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1,,,False,NED has photz of 0.0990,,334.5925,-3.8147,0.0901,https://dev-rcsed2.voxastro.org/data/galaxy/84224,143.7,RCSED,True,VLASS point,,,,,,,,,
60B,RXC J2218.2-0350 West,,334.6679,-3.7800,0.0942,https://dev-rcsed2.voxastro.org/data/galaxy/4318671,85.9,RCSED,False,,,,,,,,,,,,,,,,,,,
