LoVoCCS_name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
LoVoCCS-67,359.25195,5e-05,6e-05,-34.75829,5e-05,6e-05,144.8464,0.2948,0.1946,0.7946,0.0015,0.0011
LoVoCCS-74,332.34493,0.00055,0.00049,-51.81097,0.00028,0.00038,153.2183,2.8147,3.0108,0.9085,0.0144,0.0142
LoVoCCS-75,346.80684,0.00024,0.00017,-15.22716,0.00026,0.0002,-166.6672,2.917,3.2916,0.9498,0.0125,0.0121
LoVoCCS-76,348.25695,0.00026,0.00023,-21.63307,0.00022,0.0002,141.598,2.2122,3.062,0.869,0.0096,0.0141
LoVoCCS-80,52.14956,0.00043,0.00034,-55.71063,0.00021,0.00022,-136.1102,10.4162,373.6847,0.9815,0.0085,0.0073
LoVoCCS-85,12.34575,0.0002,0.00027,-29.52118,0.00019,0.00028,151.5519,3.4588,3.7265,0.9231,0.0148,0.0125
LoVoCCS-89,348.08098,0.00048,0.00055,-21.50374,0.00042,0.00046,176.2896,354.1863,3.9229,0.9882,0.0154,0.0111
LoVoCCS-90,227.86176,0.00068,0.00057,6.35088,0.00053,0.00064,-83.9529,7.1532,349.4674,0.9906,0.0131,0.0089
LoVoCCS-93A,96.90563,0.00074,0.00073,-54.44235,0.00035,0.00032,-62.4238,0.9821,0.6247,0.8386,0.0042,0.0053
LoVoCCS-93B,96.66211,0.00084,0.00059,-54.52775,0.0004,0.00039,-75.5593,0.9,0.9476,0.9056,0.0072,0.0083
LoVoCCS-94,191.15035,0.00032,0.00033,-11.99578,0.00034,0.00028,-160.3955,4.002,3.3007,0.9312,0.0124,0.0154
LoVoCCS-98,358.55788,0.00024,0.00029,-10.41625,0.00023,0.00024,-156.5097,101.2432,320.0729,0.9982,0.0069,0.0043
LoVoCCS-99,194.33593,0.00059,0.00047,-30.36533,0.00059,0.00041,-149.9051,3.9166,3.9703,0.9342,0.0092,0.0089
LoVoCCS-119,125.25839,7e-05,6e-05,7.86452,8e-05,8e-05,-80.7086,1.8766,1.8226,0.9703,0.0052,0.0064
LoVoCCS-121,52.48007,0.00035,0.00034,-52.58021,0.00017,0.00023,-140.9563,4.2228,4.3894,0.9607,0.0053,0.0069
LoVoCCS-123,193.67578,0.00031,0.00039,-29.22863,0.00027,0.00029,147.6039,2.226,2.2397,0.9173,0.0059,0.0064
LoVoCCS-131,137.65149,0.0005,0.00041,-10.58244,0.00044,0.0005,261.3377,3.1668,2.9612,0.959,0.0136,0.0141
LoVoCCS-134,329.60184,0.0013,0.001,-60.4187,0.00063,0.00056,-179.923,354.8131,4.2253,0.9998,0.0077,0.0044
